Title,Title_URL,Image,gs_ai_aff,gs_ai_eml,Number,gs_ai_one_int,gs_ai_one_int2,gs_ai_one_int4,,,hi
Ivica Puljak,https://scholar.google.com/citations?hl=en&user=w6MmUp0AAAAJ,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=w6MmUp0AAAAJ&citpid=2,"University of Split, Faculty of Electrical Engineering, Mechanical Engineering and Naval",Verified email at fesb.hr,189705,High energy physics,Astroparticle physics,Instrumentation,,,194
Nikola Godinović,https://scholar.google.com/citations?hl=en&user=yanp1rYAAAAJ,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=yanp1rYAAAAJ&citpid=2,University of Split,Verified email at fesb.hr,185274,,,,,,187
Sven Gotovac,https://scholar.google.com/citations?hl=en&user=jdkVWz0AAAAJ,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=jdkVWz0AAAAJ&citpid=2,"Professor electrical engineering, University of Split",Verified email at fesb.hr,54439,Parallel computing,Image processing,Artificial inteligence,,,108
Linda Vicković,https://scholar.google.com/citations?hl=en&user=Pb_olyAAAAAJ,https://scholar.google.com/citations/images/avatar_scholar_56.png,"Assistant professor, University of Split",Verified email at fesb.hr,50329,Software engineering,Complex data storage systems simulation and …,,,,107
Petra Lončar,https://scholar.google.com/citations?hl=en&user=DkvQqg4AAAAJ,https://scholar.google.com/citations/images/avatar_scholar_56.png,"University of Split, Faculty of Electrical Engineering, Mechanical Engineering and Naval",Verified email at fesb.hr,8756,,,,,,56
Sandro Nižetić,https://scholar.google.com/citations?hl=en&user=BtHI3X8AAAAJ,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=BtHI3X8AAAAJ&citpid=4,"University of Split, Croatia",Verified email at fesb.hr,5790,Mechanical Engineering (Thermodynamics,Energy Engineering,Energy Efficiency),,,43
Ilja Doršner,https://scholar.google.com/citations?hl=en&user=304Vu4wAAAAJ,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=304Vu4wAAAAJ&citpid=2,"Professor of Physics, University of Split",Verified email at fesb.hr,3723,High Energy Physics,,,,,31
Mario Čagalj,https://scholar.google.com/citations?hl=en&user=y3F7cwIAAAAJ,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=y3F7cwIAAAAJ&citpid=6,"University of Split, FESB",Verified email at fesb.hr,3568,information security,applied cryptogaphy,wireless networks,,,22
Dragan Poljak,https://scholar.google.com/citations?hl=en&user=ywncz00AAAAJ,https://scholar.google.com/citations/images/avatar_scholar_56.png,"University of Split unist.hr Faculty of Electrical Engineering, Mechanical Engineering and …",Verified email at fesb.hr,3401,elektromagnetizam,antene,numeričke metode,,,27
Darko Zarić,https://scholar.google.com/citations?hl=en&user=kBZnneUAAAAJ,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=kBZnneUAAAAJ&citpid=2,"University of Split unist.hr Faculty of Electrical Engineering, Mechanical Engineering and …",Verified email at fesb.hr,2928,Astroparticle physics,Gamma ray astronomy,,,,25
Petar Šolić,https://scholar.google.com/citations?hl=en&user=SQp__JgAAAAJ,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=SQp__JgAAAAJ&citpid=4,"University of Split, FESB unist.hr",Verified email at fesb.hr,1833,RFID,Communication Systems,,,,20
Ivan Slapničar,https://scholar.google.com/citations?hl=en&user=9UJdlLMAAAAJ,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=9UJdlLMAAAAJ&citpid=2,"Full Professor, University of Split unist.hr, FESB",Verified email at fesb.hr,1604,Numerical linear algebra,accurate algorithms,,,,17
Ivan Tolj,https://scholar.google.com/citations?hl=en&user=XnuRgY8AAAAJ,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=XnuRgY8AAAAJ&citpid=3,"FESB, University of Split unist.hr",Verified email at fesb.hr,1127,Thermodynamics,Heat and mass transfer,Hydrogen energy systems,,,18
Darko Stipaničev,https://scholar.google.com/citations?hl=en&user=V-v16W8AAAAJ,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=V-v16W8AAAAJ&citpid=2,"University of Split, Faculty of Elecrtical Engineering, Mechanical Engineering and Naval …",Verified email at fesb.hr,1036,artificial intelligence,computational intelligence,cognitive vision,,,15
Josip Lorincz,https://scholar.google.com/citations?hl=en&user=UpXBN6AAAAAJ,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=UpXBN6AAAAAJ&citpid=3,"Associate professor, FESB, University of Split, unist.hr, Croatia",Verified email at fesb.hr,939,Green networking and computing,Wireless,Communications,,,15
Duje Čoko,https://scholar.google.com/citations?hl=en&user=V7vOkgUAAAAJ,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=V7vOkgUAAAAJ&citpid=4,"University of Split, FESB",Verified email at fesb.hr,820,Circuits and Systems,Instrumentation and Measurement,,,,11
Marko Mladineo,https://scholar.google.com/citations?hl=en&user=E6YZWEQAAAAJ,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=E6YZWEQAAAAJ&citpid=2,"Assistant professor at FESB, University of Split unist.hr",Verified email at fesb.hr,745,production research,organization,multi-objective optimization,,,14
Petar Sarajcev,https://scholar.google.com/citations?hl=en&user=TPzhZnwAAAAJ,https://scholar.google.com/citations/images/avatar_scholar_56.png,University of Split,Verified email at fesb.hr,720,,,,,,16
Nikola Gjeldum,https://scholar.google.com/citations?hl=en&user=NbmJ6csAAAAJ,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=NbmJ6csAAAAJ&citpid=2,"Associate professor, University of Split unist.hr Faculty of electrical engineering, mechanical",Verified email at fesb.hr,683,Manufacturing process planning,plant layout,production organization,,,14
Slavko Vujevic,https://scholar.google.com/citations?hl=en&user=x0tCkogAAAAJ,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=x0tCkogAAAAJ&citpid=5,"Professor, University of Split, www.fesb.unist.hr",Verified email at fesb.hr,668,electromagnetics,grounding grid analysis,lightning protection,,,15
Ivo Marinić-Kragić,https://scholar.google.com/citations?hl=en&user=5CpIFpIAAAAJ,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=5CpIFpIAAAAJ&citpid=3,"University of Split, FESB",Verified email at fesb.hr,608,Optimization Methods,Numerical Methods in Engineering,Computational fluid dynamics,,,14
Damir Jelaska,https://scholar.google.com/citations?hl=en&user=fUsIK_AAAAAJ,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=fUsIK_AAAAAJ&citpid=2,"University of Split, Croatia",Verified email at fesb.hr,565,Energy efficiency and management,,,,,10
Maja Štula,https://scholar.google.com/citations?hl=en&user=rfgWlCIAAAAJ,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=rfgWlCIAAAAJ&citpid=3,"Professor, FESB, University of Split unist.hr",Verified email at fesb.hr,559,artificial intelligence,intelligent technologies,multi-agent systems,,,13
Željko Domazet,https://scholar.google.com/citations?hl=en&user=EWgWqm8AAAAJ,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=EWgWqm8AAAAJ&citpid=2,"Full Professor, University of Split, unist.hr, Faculty of Eletrical Eng., Mechanical Eng. and …",Verified email at fesb.hr,558,Metal structures,Fatigue,Machine elements,,,10
Vicko Dorić,https://scholar.google.com/citations?hl=en&user=jSpGpgcAAAAJ,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=jSpGpgcAAAAJ&citpid=1,"Assosiate Professor, Department of Electronics and Computing, University of Split, FESB",Verified email at fesb.hr,551,computational electromagnetics,electromagnetic compatibility,numerical methods,,,10
Ljiljana Šerić,https://scholar.google.com/citations?hl=en&user=QxhAZBQAAAAJ,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=QxhAZBQAAAAJ&citpid=2,"University of Split, FESB, unist.hr",Verified email at fesb.hr,541,artificial intelligence,web intelligence,,,,12
Silvestar Šesnić,https://scholar.google.com/citations?hl=en&user=6lUck8AAAAAJ,https://scholar.google.com/citations/images/avatar_scholar_56.png,"University of Split, Faculty of Electrical Engineering, Mechanical Engineering and Naval",Verified email at fesb.hr,535,Electromagnetic Compatibility,Analytical methods,Transient analysis,,,11
Damir Vučina,https://scholar.google.com/citations?hl=en&user=cFjZD80AAAAJ,https://scholar.google.com/citations/images/avatar_scholar_56.png,"Professor, FESB, University of Split, Croatia",Verified email at fesb.hr,502,Optimization Methods,Numerical Methods in Engineering,,,,13
Tonko Garma,https://scholar.google.com/citations?hl=en&user=2-giNBYAAAAJ,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=2-giNBYAAAAJ&citpid=1,"Associate Professor of Electrical Engineering, University of Split (FESB, Power Engineering",Verified email at fesb.hr,502,Electrical measurements in Power …,,,,,8
Damir Krstinić,https://scholar.google.com/citations?hl=en&user=xEqZaQ8AAAAJ,https://scholar.google.com/citations/images/avatar_scholar_56.png,University of Split,Verified email at fesb.hr,500,,,,,,10
